,name,rmse,time
0,item_dev_cosine_mean_10,1.0195,14.5352
1,item_dev_cosine_mean_100,1.0644,22.5883
2,item_dev_cosine_mean_500,1.1185,54.2922
3,item_dev_cosine_weight_10,1.0169,13.9151
4,item_dev_cosine_weight_100,1.0574,21.3708
5,item_dev_cosine_weight_500,1.1028,53.6476
6,item_dev_dot_mean_10,1.0213,53.4726
7,item_dev_dot_mean_100,1.0469,63.0150
8,item_dev_dot_mean_500,1.1110,101.0963
9,pcc_item_dev_cosine_mean_10,1.0189,23.4156
10,pcc_item_dev_cosine_mean_100,1.0642,25.0632
11,pcc_item_dev_cosine_mean_500,1.1183,31.3496
12,pcc_item_dev_cosine_weight_10,1.0164,23.4484
13,pcc_item_dev_cosine_weight_100,1.0573,24.9249
14,pcc_item_dev_cosine_weight_500,1.1027,30.9663
15,pcc_item_dev_dot_mean_10,1.0223,23.7546
16,pcc_item_dev_dot_mean_100,1.0469,27.1225
17,pcc_item_dev_dot_mean_500,1.1108,34.7822
18,pcc_user_dev_cosine_mean_10,1.0654,34.4780
19,pcc_user_dev_cosine_mean_100,1.0641,35.7934
20,pcc_user_dev_cosine_mean_500,1.0768,41.5984
21,pcc_user_dev_cosine_weight_10,1.0650,34.3364
22,pcc_user_dev_cosine_weight_100,1.0637,35.6801
23,pcc_user_dev_cosine_weight_500,1.0755,41.4333
24,pcc_user_dev_dot_mean_10,1.0035,34.0572
25,pcc_user_dev_dot_mean_100,1.0074,36.0830
26,pcc_user_dev_dot_mean_500,1.0437,44.3739
27,user_dev_cosine_mean_10,1.0630,21.0444
28,user_dev_cosine_mean_100,1.0620,43.6756
29,user_dev_cosine_mean_500,1.0753,144.7183
30,user_dev_cosine_weight_10,1.0627,20.2980
31,user_dev_cosine_weight_100,1.0615,41.3121
32,user_dev_cosine_weight_500,1.0740,140.3461
33,user_dev_dot_mean_10,1.0024,19.7750
34,user_dev_dot_mean_100,1.0067,44.0032
35,user_dev_dot_mean_500,1.0430,145.1234
